district,price,square
Новомосковский административный округ,13499999.0,51.2
Троицкий административный округ,10200000.0,60.2
район Академический,27350000.0,57.0
район Алексеевский,29300000.0,63.3
район Алтуфьевский,14900000.0,51.2
район Арбат,110978965.5,109.75
район Аэропорт,29750000.0,64.3
район Бабушкинский,18100000.0,90.7
район Басманный,41500000.0,72.5
район Беговой,26495000.0,60.2
район Бескудниковский,19200000.0,60.3
район Бибирево,12550000.0,47.0
район Бирюлево Восточное,15549500.0,65.0
район Бирюлево Западное,15200000.0,65.0
район Богородское,15474500.0,56.5
район Братеево,16900000.0,55.05
район Бутырский,22400000.0,59.2
район Вешняки,11500000.0,44.0
район Внуково,11200000.0,53.6
район Войковский,24910000.0,61.45
район Восточное Дегунино,14800000.0,52.5
район Восточное Измайлово,22495000.0,94.9
район Выхино-Жулебино,12850000.0,52.0
район Гагаринский,52000000.0,81.0
район Головинский,16600000.0,48.3
район Гольяново,23700000.0,59.0
район Даниловский,30500000.0,62.0
район Дмитровский,14649999.0,53.1
район Донской,25750000.0,57.8
район Дорогомилово,47000000.0,64.0
район Замоскворечье,72000000.0,97.3
район Западное Дегунино,16975000.0,59.1
район Зюзино,20000000.0,56.0
район Зябликово,13350000.0,46.1
район Ивановское,12490000.0,52.3
район Измайлово,19400000.0,56.6
район Коньково,15310750.0,48.95
район Коптево,21300000.0,58.4
район Косино-Ухтомский,14600000.0,54.5
район Котловка,13700000.0,39.2
район Красносельский,29900000.0,65.1
район Крылатское,27450000.0,74.5
район Кузьминки,14000000.0,44.5
район Кунцево,29800000.0,80.2
район Куркино,20150000.0,64.5
район Левобережный,20800000.0,57.2
район Лефортово,25000000.0,62.0
район Лианозово,15500000.0,58.0
район Ломоносовский,32000000.0,70.44999999999999
район Лосиноостровский,13750000.0,39.25
район Люблино,13000000.0,51.0
район Марфино,25100000.0,60.0
район Марьина роща,23700000.0,55.95
район Марьино,14200000.0,51.15
район Метрогородок,14725000.0,40.7
район Мещанский,48850000.0,80.45
район Митино,13945000.0,41.45
район Можайский,25150000.0,69.8
район Молжаниновский,11400000.0,38.9
район Москворечье-Сабурово,20500000.0,60.75
район Нагатино-Садовники,16950000.0,55.0
район Нагатинский затон,18100000.0,49.05
район Нагорный,17475000.0,51.65
район Некрасовка,12645000.0,54.7
район Нижегородский,17750000.0,57.650000000000006
район Ново-Переделкино,13500000.0,53.4
район Новогиреево,13350000.0,45.6
район Новокосино,13600000.0,53.5
район Обручевский,30200000.0,66.0
район Орехово-Борисово Северное,14150000.0,52.05
район Орехово-Борисово Южное,11990000.0,39.0
район Останкинский,24250000.0,56.400000000000006
район Очаково-Матвеевское,27999900.0,54.0
район Перово,14499000.0,55.5
район Печатники,13400000.0,45.5
район Покровское-Стрешнево,21500000.0,58.6
район Преображенское,13900000.0,47.8
район Пресненский,81500000.0,90.0
район Проспект Вернадского,49900000.0,90.1
район Раменки,48214200.0,76.0
район Ростокино,39800000.0,83.8
район Рязанский,16900000.0,52.8
район Савеловский,25500000.0,61.7
район Северное Бутово,15999999.0,58.0
район Северное Измайлово,18100000.0,71.5
район Северное Медведково,14299500.0,59.0
район Северное Тушино,14350000.0,50.8
район Сокол,21950000.0,47.7
район Соколиная гора,17850000.0,55.55
район Сокольники,28550000.0,67.9
район Солнцево,8500000.0,39.8
район Строгино,15650000.0,47.0
район Таганский,33000000.0,65.6
район Тверской,78950000.0,94.7
район Текстильщики,13899999.5,44.8
район Теплый Стан,14800000.0,50.05
район Тимирязевский,22700000.0,58.6
район Тропарево-Никулино,42450000.0,78.4
район Филевский парк,27849500.0,58.5
район Фили-Давыдково,24900000.0,64.25
район Хамовники,206637250.0,136.95
район Ховрино,16500000.0,52.0
район Хорошево-Мневники,36500000.0,67.8
район Хорошевский,42892500.0,72.9
район Царицыно,14000000.0,48.7
район Черемушки,24695000.0,67.9
район Чертаново Северное,15350000.0,57.5
район Чертаново Центральное,14325000.0,50.0
район Чертаново Южное,14850000.0,48.0
район Щукино,26500000.0,66.15
район Южное Бутово,14475000.0,55.0
район Южное Тушино,13500000.0,44.3
район Южнопортовый,21500000.0,53.0
район Якиманка,104990000.0,124.2
район Ярославский,9700000.0,42.0
район Ясенево,15000000.0,54.0
